interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.1,1,1,1,"Number[2.7812420494716834, 0.002581541512365706, 0.004371067646024312, 0.0036206693546202763, 0.0074000673456134525, 0.18500044403155652]","[6.8903173483010995, 0.012684450994226272, 0.011142682545509175, 0.004249816205970708, 0.1850004440315566, 0.007342623231720151]","[256.86067403835955, 4.558515339985157, 97.08824085865157]"
0.1,1,1,1,"Number[2.7123998366240762, 0.0029640945621129925, 0.004548340779968729, 0.0042102285641138874, 0.007289121321996232, 0.21137989799918927]","[6.362619438631296, 0.012267009729601399, 0.011364064776004193, 0.005067377666662282, 0.21137989799918924, 0.0072086990407032375]","[227.91118422459022, 4.572577687638839, 90.78749947797161]"
0.1,1,1,1,"Number[2.457969053967466, 0.003439480966529614, 0.003909652300678105, 0.004049783995657056, 0.00816854062814172, 0.22399769970385208]","[6.775651430005164, 0.010956541321545625, 0.012612090161273588, 0.004982485492000998, 0.22399769970385205, 0.008090829698314534]","[256.44352326006657, 5.014910978519913, 104.73059144443887]"
0.1,1,1,1,"Number[2.4502225250438467, 0.0032013856249532703, 0.004021349777864833, 0.003717106147829224, 0.00822320182087666, 0.22577900704962406]","[6.709314801853914, 0.013206971957263596, 0.012392377773778931, 0.004464872061064028, 0.22577900704962406, 0.00816573502302952]","[266.6886420952967, 4.705163662388419, 105.48026939389462]"
0.1,1,1,1,"Number[2.619771087197658, 0.0028069031930428867, 0.004164486624273299, 0.0040664301058867805, 0.008192347389345867, 0.20023321160152133]","[6.573214627773959, 0.013119581413753566, 0.010826897469420957, 0.00504896967801719, 0.20023321160152124, 0.008120737729707677]","[265.27132099185314, 4.923645133839986, 108.09109869089941]"
0.1,1,1,1,"Number[2.8240682076071444, 0.002763360946919265, 0.0041393968180205645, 0.003672244800279796, 0.007682466218205237, 0.20628891303066962]","[7.09166572151839, 0.01178463319605374, 0.011453980161550255, 0.004330456308410826, 0.20628891303066962, 0.007601056011326412]","[269.6996618764153, 5.2684479796646615, 97.27544023689565]"
0.1,2,8,0,"Number[2.7200995737448106 - 0.5050568989943673im, 0.0027729752272839473 - 0.00167435387512142im, 0.004569719906623673 - 0.0031539457438482235im, 0.017261704900605267 + 0.0im, 0.006960493265408943 + 0.0im, 0.1863927461057853 + 0.0im]","[6.171375171896299, 0.01240147946489011, 0.010638471544625631, 0.004991897214654672, 0.1863927461057853, 0.008351427413057829]","[250.636620039751, 4.728431030429064, 90.6130618633614]"
0.1,2,8,0,"Number[0.6454907056568978 + 1.8587289547989365im, 0.002474407090803441 + 0.011081156084852467im, 0.00534902474293521 - 0.009078050971831144im, 0.004723089764685336 - 3.587324068671532e-43im, 0.008057044579819166 + 4.035739577255473e-43im, 0.1927930853146676 + 0.0im]","[6.01888715502603, 0.01183299863901038, 0.011812993354627014, 0.0045329858912473275, 0.19279308531466752, 0.008093487766170289]","[230.49284219590524, 5.304067894719749, 100.93828948584043]"
0.1,2,8,0,"Number[0.5649034577339378 - 2.054364671505137im, 0.0024713612040415133 - 0.011138346903450625im, 0.004829811743008636 + 0.008296384956789131im, 0.005487944819325759 - 1.6313261169996311e-55im, 0.008138459251306771 - 2.8548207047493545e-55im, 0.18797498840008126 + 0.0im]","[6.552381812804326, 0.01206253222704116, 0.011527255169884482, 0.005148360737925539, 0.18797498840008134, 0.008188014545110563]","[256.5512066448302, 5.0888692578999395, 102.69640610117901]"
0.1,2,8,0,"Number[2.532205170922538 - 0.5128589533649182im, 0.0028630290500143186 - 0.0017460885808661293im, 0.004336180745511855 - 0.0029708387960168036im, 0.00449429650764819 + 0.0im, 0.0070047937356860525 + 8.552847072295026e-50im, 0.21386065332414853 + 0.0im]","[6.658758825242378, 0.012561118154248017, 0.011499254905445731, 0.00433899514848649, 0.2138606533241485, 0.007038812283712863]","[262.15315083872366, 5.388688870010005, 99.79273201924325]"
0.1,2,8,0,"Number[2.1190782654111806 - 0.5834116897415882im, 0.0034538101827092074 - 0.0022863936284939525im, 0.004093757961448264 - 0.0026964284813746882im, 0.01469313804255169 + 8.071479154510946e-43im, 0.006227586070953352 + 8.631998540240873e-43im, 0.18592074624923688 + 0.0im]","[5.943781691298978, 0.011015268580038944, 0.01207370527830901, 0.004518837304656841, 0.18592074624923696, 0.0071495624469629015]","[255.2924641601553, 4.671246436817661, 106.01975310221187]"
0.1,2,8,0,"Number[2.605046608406166 + 0.5225882516471423im, 0.00293869776198081 + 0.0018261205643948508im, 0.004401453113007565 + 0.0030095897324596147im, 0.01722383787448123 + 0.0im, 0.005890581071486822 - 1.642146637880645e-47im, 0.19833029539732716 + 0.0im]","[6.40249901721588, 0.01221390735861967, 0.011483213974425931, 0.004531858851359431, 0.19833029539732722, 0.007473329888767435]","[257.84513832310665, 4.845746075913169, 92.83355476433373]"
0.1,2,8,0,"Number[2.840100691083972 + 0.4264097286844236im, 0.0022714663669729466 + 0.0012487801421747404im, 0.004804427945735762 + 0.0033576265682226944im, 0.0045602461954267065 - 7.300019717386633e-66im, 0.00717078714637724 + 6.077163357286271e-64im, 0.22282258817938033 + 0.0im]","[7.062024998965389, 0.012980603098306929, 0.010992054006753939, 0.004424732783607726, 0.22282258817938044, 0.007204262610462028]","[247.33856493141886, 5.308447896179285, 91.51007579527331]"
0.1,2,8,0,"Number[2.466193918309747 + 0.5761877338676883im, 0.003017462179214647 + 0.0018875798711119084im, 0.004111950909126317 + 0.002732009985451879im, 0.0047614689654357405 - 5.131708243377016e-49im, 0.008161438582345084 - 3.4211388289180104e-49im, 0.22431452967668497 + 0.0im]","[6.684386292432026, 0.011325820745455887, 0.011290978967747636, 0.004539160523034295, 0.22431452967668494, 0.008186799965946446]","[270.77836650549233, 4.54485024444058, 107.4333865548966]"
0.1,2,8,0,"Number[1.1186808625742657 - 2.022887586982976im, 0.002982499205876099 - 0.00941579504048714im, 0.004394260106055676 + 0.0071238203712405im, 0.004761682941938097 + 0.0im, 0.006848348062382299 + 0.0im, 0.2080915868193514 + 0.0im]","[6.23994237067955, 0.01273924335485732, 0.012113881637845924, 0.0045748499443399844, 0.20809158681935136, 0.006877677241389724]","[268.6240416622029, 4.698758417874067, 99.09554671911664]"
