sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
1,0.25,1,1,"[6.281549301519657, 0.009109738541952883, 0.011441826448028316]","[[6.281549301519657, 0.009109738541952883, 0.011441826448028316]]",1,"[0.004641727711513266, 0.005259829307925512]","[[0.004641727711513266, 0.005259829307925512]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,2,4,"[6.346130385687469, 0.00935627394399599, 0.011388703117040754]","[[12.965760251086957, 0.01686278950013481, 0.012026416238133312], [6.346130385687469, 0.00935627394399599, 0.011388703117040754], [2.117503846192587, 0.04753577308102868, -0.008874488538033461], [11.19663452220132, 0.014563853810300825, 0.0151371266290233]]",2,"[0.005215672670768433, 0.008515604946240152]","[[0.032803396719749994, 0.1267494026442244], [0.005215672670768433, 0.008515604946240152]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,3,1,"[6.351997894759234, 0.00937107742193406, 0.01138651199589749]","[[6.351997894759234, 0.00937107742193406, 0.01138651199589749]]",1,"[0.005278060936419893, 0.007319343209492578]","[[0.005278060936419893, 0.007319343209492578]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,4,4,"[6.35241081101644, 0.00937193158259299, 0.011386430630677498]","[[6.35241081101644, 0.00937193158259299, 0.011386430630677498], [19.630980068294768, 0.020561162298902938, 0.011581057543442224], [12.412879557614168, 0.01488491304820894, 0.01878834991918416], [1.3629996187625204, 0.054198041735564695, -0.012796355301156534]]",2,"[0.005281192437605498, 0.0074418157021019105]","[[0.005281192437605498, 0.0074418157021019105], [0.03935511953026767, 0.19873448333633986]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,5,1,"[6.352432587970314, 0.009371971895097352, 0.011386428220269031]","[[6.352432587970314, 0.009371971895097352, 0.011386428220269031]]",1,"[0.005281618803220946, 0.007427235300092564]","[[0.005281618803220946, 0.007427235300092564]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,6,4,"[6.3524335016341835, 0.009371973477580817, 0.011386428162608082]","[[6.3524335016341835, 0.009371973477580817, 0.011386428162608082], [27.870903339900604, 0.023863506988884696, 0.011543548574128693], [13.954502816669317, 0.015627322010855784, 0.021609180939326258], [0.9465363016785143, 0.06260397623276673, -0.017537131324098506]]",2,"[0.005281625880105285, 0.007428335578075443]","[[0.04656736631262716, 0.2549553411135366], [0.005281625880105285, 0.007428335578075443]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,7,1,"[6.352433533602507, 0.009371973530699447, 0.01138642816148678]","[[6.352433533602507, 0.009371973530699447, 0.01138642816148678]]",1,"[0.005281627504276886, 0.0074282499537183366]","[[0.005281627504276886, 0.0074282499537183366]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,8,4,"[6.352433534566307, 0.009371973532259171, 0.011386428161468901]","[[0.6580799375681762, 0.07162998398723161, -0.022588444432617847], [15.748008303103711, 0.016437119157255722, 0.02424940331357801], [6.352433534566307, 0.009371973532259171, 0.011386428161468901], [38.71963363195772, 0.027043951913705414, 0.011557213109230021]]",2,"[0.005281627494666966, 0.007428255081810876]","[[0.05387909763263932, 0.2965196611311377], [0.005281627494666966, 0.007428255081810876]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,9,1,"[6.352433534589823, 0.00937197353229642, 0.011386428161469796]","[[6.352433534589823, 0.00937197353229642, 0.011386428161469796]]",1,"[0.005281627498796666, 0.007428254783649797]","[[0.005281627498796666, 0.007428254783649797]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.25,10,4,"[6.352433534588971, 0.009371973532294992, 0.011386428161471285]","[[53.31147465610267, 0.030160983205248838, 0.011582388432148035], [17.79375765042621, 0.017269209914651414, 0.0268173793880602], [6.352433534588971, 0.009371973532294992, 0.011386428161471285], [0.4557205151755517, 0.08090854860457765, -0.027767494040616764]]",2,"[0.005281627498713211, 0.007428254798329608]","[[0.0612034746011486, 0.3258080407001499], [0.005281627498713211, 0.007428254798329608]]","[6.352433534588144, 0.011386428161470338, 0.009371973532293791, 0.005281627498720777, 0.2430818654306458, 0.007428254797671878]","[0.9010755314130978, 0.9495357598041871, 0.998278758535862, 1.0833664458413643, 0.8011878992055009, 0.8874900339400534]"
1,0.5,1,1,"[8.05710350884579, 0.007809249319132944, 0.015463187607493723]","[[8.05710350884579, 0.007809249319132944, 0.015463187607493723]]",1,"[-0.0010210554674556934, 0.03121076482702659]","[[-0.0010210554674556934, 0.03121076482702659]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
1,0.5,2,2,,"[[1.9461741266426564, 0.04462299070829815, -0.004791494150975596], [3.1945110752126924, -0.002819846740219347, 0.0277102069194163]]",2,,"[[0.003030979989490041, 0.013357079523256342], [0.04157114433322765, 0.23794005923450234]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
1,0.5,3,1,"[8.530935974497474, 0.008340538203356939, 0.01591749407996154]","[[8.530935974497474, 0.008340538203356939, 0.01591749407996154]]",1,"[0.0035426710619540884, 0.011339286745644488]","[[0.0035426710619540884, 0.011339286745644488]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
1,0.5,4,4,"[8.804196303338486, 0.008645989909291904, 0.015955596653266225]","[[12.50483357670373, 0.0120696069387451, 0.016054046570244764], [2.590852131540155, -0.004404980776352875, 0.03152978559210565], [8.804196303338486, 0.008645989909291904, 0.015955596653266225], [2.543976210836003, 0.04390769530879749, -0.0031219577962025118]]",2,"[0.0036285151672272487, 0.011062054502507926]","[[0.0036285151672272487, 0.011062054502507926], [0.04644737511919576, 0.44003030065236776]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
1,0.5,5,1,"[8.726004826124052, 0.008559276866140015, 0.015949197388217325]","[[8.726004826124052, 0.008559276866140015, 0.015949197388217325]]",1,"[0.003641932599788288, 0.011013749726978475]","[[0.003641932599788288, 0.011013749726978475]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
1,0.5,6,4,"[8.736895223069938, 0.008571417839065282, 0.015949831842718663]","[[8.736895223069938, 0.008571417839065282, 0.015949831842718663], [2.0917390356858316, -0.0067290850969125866, 0.03577704053482344], [2.680963806903573, 0.04986972196261205, -0.005295054832651213], [17.920808268644475, 0.015584203781194014, 0.01603714485807564]]",2,"[0.003643736111372451, 0.011007579860222777]","[[0.003643736111372451, 0.011007579860222777], [0.05333303507050219, 0.6464421125276221]]","[8.735565481900922, 0.01594977525547074, 0.008569934813820002, 0.003643969269414238, 0.19804996253187537, 0.011006765721106926]","[1.1489488395957153, 0.6624489509639481, 1.260430999280908, 0.8942202567424232, 1.2061348094479722, 1.1208017323624655]"
