interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.2,2,8,0,"Number[1.9638792760821657 - 0.5934314613616294im, 0.002453361837468186 - 0.002439247819513701im, 0.002961117861818689 - 0.002737482524007018im, 0.006400995010600024 - 6.018531076210112e-36im, 0.006755043590044751 + 4.0625084764418256e-35im, 0.19721873505175697 + 0.0im]","[5.733273301136536, 0.009695131536869203, 0.011287462710541886, 0.00563188099844564, 0.19721873505175705, 0.006907052575678865]","[244.29189360626853, 5.88238929538191, 102.14222381326547]"
0.2,2,8,0,"Number[1.4356153963658411 - 1.7129104014008802im, 0.0014623739193072734 - 0.010795074576011124im, 0.004326972039068078 + 0.008302391524389262im, 0.003849187033806279 - 2.7369110631344083e-48im, 0.009027680843138548 + 5.473822126268817e-48im, 0.21115440628623863 + 7.596454196607839e-65im]","[5.52910387542959, 0.011673758044435083, 0.011219949134579153, 0.0037664382967812935, 0.21115440628623863, 0.009047840446252125]","[218.6471892474971, 4.577419218399012, 80.12012499441418]"
0.2,2,8,0,"Number[1.9908201992001775 - 0.5654670819453086im, 0.002576318794407616 - 0.002526355030075071im, 0.0024779875639745464 - 0.0023962035765997818im, 0.006315110223208812 - 1.4444474582904269e-34im, 0.008995782040291262 - 6.620384183831123e-35im, 0.22047984454084024 + 0.0im]","[5.762749541740442, 0.010220559029231557, 0.011847847154867922, 0.005587472430122258, 0.2204798445408403, 0.009119750607462108]","[292.66451150542014, 5.709991177601561, 102.03980277217454]"
0.2,2,8,0,"Number[2.1205447333567413 - 0.4945335740965656im, 0.002358797504971846 - 0.0023450148994641753im, 0.0029729964826468356 - 0.0028591278880302604im, 0.004822250167700893 - 1.5311614510518905e-59im, 0.008769058425377944 + 1.2744735289059618e-57im, 0.20771609531962426 + 0.0im]","[5.544331314968914, 0.01163197608410086, 0.012059315360542588, 0.004613646941196842, 0.20771609531962415, 0.008826818059051555]","[264.0122570841949, 5.51964723088861, 87.03669568423922]"
0.2,2,8,0,"Number[1.7762516704955693 + 0.4956352305083456im, 0.0025301431990464016 + 0.00252049207784578im, 0.0033066474325876404 + 0.00312792376587568im, 0.01628381281192136 + 0.0im, 0.007714723576926851 + 1.7105694144590052e-49im, 0.22689079626556177 + 0.0im]","[5.447068905431878, 0.012066346062211852, 0.012765824799546011, 0.003949933610869667, 0.22689079626556177, 0.00901403859326582]","[224.0664198474348, 4.5043252140270855, 95.84336994795981]"
0.2,2,8,0,"Number[-0.052115659204176476 + 1.4134907407752033im, 0.0016317874822379622 + 0.012044918765618374im, 0.003690143056917646 - 0.010025187809631912im, 0.011805980153884465 + 8.758115402030107e-47im, 0.007693327327071097 + 9.85287982728387e-47im, 0.19114626641996688 + 0.0im]","[7.260332033762834, 0.013357663232868642, 0.013176293696182385, 0.005018205027699816, 0.1911462664199669, 0.00850351274672506]","[234.99754090005814, 5.670627723167948, 112.30974202651642]"
0.2,2,8,0,"Number[-0.19418365384545538 - 1.1753746222950674im, 0.000885383658801408 - 0.01473040253258787im, 0.004604994506367804 + 0.01187768868624439im, 0.0065266699970079585 + 1.1754943508222875e-38im, 0.0071934736229448595 + 3.122406869371701e-39im, 0.2413372353167491 + 0.0im]","[5.492035868635562, 0.011878047362567968, 0.010494193365493228, 0.005607354546154854, 0.24133723531674917, 0.007336503691540596]","[219.50723986495942, 5.629061161892525, 107.53012539842082]"
0.2,2,8,0,"Number[-0.2001480394049478 + 1.3495834814626477im, -0.0010326743569099724 + 0.017972644745264006im, 0.005320169136626201 - 0.012228950634956128im, 0.015047488065139024 - 5.0978941156238473e-57im, 0.008324409148575686 - 2.039157646249539e-56im, 0.19239021248454827 + 0.0im]","[7.561974532694312, 0.013532671139688911, 0.010524022544050568, 0.005056401566178259, 0.1923902124845483, 0.00906256648689914]","[224.3016726333816, 4.137476956339705, 95.9497314582033]"
0.2,2,8,0,"Number[2.3799599478188886 + 0.496295107934984im, 0.0019239058594140602 + 0.0019505729946392315im, 0.0028478873729385094 + 0.002735979087282465im, 0.015774078803413877 - 5.3809861030072976e-43im, 0.005248869608618287 - 6.726232628759122e-44im, 0.1814640576400626 + 0.0im]","[6.8850788647981584, 0.01117712215408154, 0.012181133714076905, 0.0049404459976809005, 0.18146405764006254, 0.007218704312828927]","[286.115691999109, 5.674626000056639, 92.09596227954296]"
0.2,3,24,1,"Number[2.7625996911218498, 0.0027940144121569796, 0.004812365846166987, 0.005441408841709989, 0.008603250765212747, 0.2094008957665637]","[6.048073575830372, 0.010332145721369593, 0.009608801124532048, 0.005501569948025607, 0.20940089576656376, 0.008591607468136635]","[254.48244048053442, 4.932178089577029, 99.61489594607895]"
0.2,3,8,1,"Number[2.97890971292058, 0.0016015263930374097, 0.004934248723773693, 0.0037675094165858024, 0.006684172742528, 0.16621124359858078]","[7.64681393664358, 0.011328927327874893, 0.010501439678545036, 0.003778136369572913, 0.16621124359858072, 0.00668122989527891]","[280.4576236879793, 4.617484997637584, 95.32715840828268]"
0.2,3,21,1,"Number[2.9566950072907385, 0.0033577724061258645, 0.004358360578221355, 0.004965571599782665, 0.007743030968836101, 0.22940183538457745]","[5.727936367448529, 0.01088760431355269, 0.010648031896906893, 0.00498624546554809, 0.22940183538457753, 0.007734932684841733]","[292.2906027847616, 5.216817025277486, 80.64271215342413]"
0.2,3,24,1,"Number[2.37624347437566, 0.0026474280521637554, 0.004751803577437886, 0.00526201761469428, 0.006472246848523505, 0.17447206531708714]","[6.187074119847851, 0.013463002802137618, 0.010188914081613846, 0.005353653836662883, 0.17447206531708712, 0.0064595359252115035]","[263.0817263880414, 4.845103101816173, 117.83833742474471]"
0.2,3,25,1,"Number[2.080172410093486, 0.0034642742420179615, 0.0045531790648745, 0.0038992598355845013, 0.007566594806406171, 0.1914965805949536]","[6.840796160408713, 0.011222056402092895, 0.012623920921546197, 0.003924832873397371, 0.19149658059495353, 0.00756263943730564]","[243.64517651164778, 4.5609728759868755, 119.8248409763255]"
0.2,3,6,1,"Number[3.2412111382568494, 0.0010611626927775999, 0.004990304376796216, 0.003804647121820679, 0.006111395972543779, 0.17355221896124554]","[7.778699454260726, 0.012181726402504705, 0.009846951439052305, 0.003813979262014333, 0.17355221896124556, 0.006108365275709529]","[292.2026003478572, 4.716185396314624, 90.12945043774883]"
0.2,3,23,1,"Number[2.5480942143121164, 0.003168335367218361, 0.005110671608009457, 0.005082429618105906, 0.00815808693678153, 0.18577056165288555]","[6.0827429441412795, 0.012392380817760734, 0.011526359087020972, 0.0051188384973582975, 0.1857705616528855, 0.008147745525917762]","[242.46677817757254, 5.233406489245629, 93.36491969222149]"
0.2,3,3,1,"Number[2.7244180576165076, 0.002116168501029269, 0.006236693010316592, 0.004934927366009559, 0.007641698431042462, 0.20098998834594803]","[7.761151781976891, 0.01450777152092959, 0.013393715589401695, 0.004957354663368559, 0.20098998834594803, 0.007635913135343253]","[217.90817902672606, 4.441753887531427, 83.97837071483538]"
0.2,3,2,1,"Number[2.815731943458962, 0.0020148989545683183, 0.0048562921847552344, 0.004731546235795029, 0.006422506071680539, 0.21740782570504044]","[6.581386814032389, 0.012550267996564817, 0.00972645029750959, 0.0047651035813827, 0.21740782570504052, 0.006410195101338556]","[279.0727779550889, 5.9179771958382235, 99.59950543622467]"
