sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
34,0.1,8,4,"[6.663450161151626, 0.011614295814559986, 0.01098398789576112]","[[6.663450161151626, 0.011614295814559986, 0.01098398789576112], [0.006418692765594795, 0.11621824918035183, -0.06037230730354806], [17.227687882195905, 0.01911059123348954, 0.024687253920070103], [37.48171166346705, 0.028503746502240426, 0.011138796319255373]]",2,"[0.004915952514703174, 0.008183554034924287]","[[0.05549677363739252, 0.38762985012954626], [0.004915952514703174, 0.008183554034924287]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,9,1,"[6.663450161151424, 0.011614295814558504, 0.010983987895770696]","[[6.663450161151424, 0.011614295814558504, 0.010983987895770696]]",1,"[0.004915952533128873, 0.008183553837545857]","[[0.004915952533128873, 0.008183553837545857]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
34,0.1,10,4,"[6.66345016114952, 0.011614295814555076, 0.010983987895775989]","[[6.66345016114952, 0.011614295814555076, 0.010983987895775989], [0.002132163669066252, 0.12844019981961594, -0.06904158933460149], [20.400460882287, 0.020468647783384128, 0.02694212509846609], [51.18566603332334, 0.03153494381046191, 0.01117140083476375]]",2,"[0.004915952533867944, 0.008183553841866684]","[[0.004915952533867944, 0.008183553841866684], [0.0628103168331405, 0.43459039261311583]]","[6.663450161147787, 0.01098398789577327, 0.011614295814552983, 0.004915952533905192, 0.22538004612104023, 0.008183553841484024]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,1,1,"[6.337838740583158, 0.011739173644369305, 0.012979822085491163]","[[6.337838740583158, 0.011739173644369305, 0.012979822085491163]]",1,"[0.002407093730532259, 0.013649022885588877]","[[0.002407093730532259, 0.013649022885588877]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,2,2,"[6.284617609963056, 0.011640162953104403, 0.01323123764914717]","[[0.19482701350195394, -0.060314158646774765, 0.07152114596229203], [6.284617609963056, 0.011640162953104403, 0.01323123764914717]]",2,,"[[0.03647567688535628, 0.16750510089164364], [0.0041639544913939855, 0.008817604905423434]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,3,1,"[6.301370989857268, 0.011668867005277922, 0.013192746985182358]","[[6.301370989857268, 0.011668867005277922, 0.013192746985182358]]",1,"[0.004362970369530829, 0.007670870102929214]","[[0.004362970369530829, 0.007670870102929214]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,4,4,"[6.299749560628644, 0.011666138849213805, 0.013195808784662004]","[[6.299749560628644, 0.011666138849213805, 0.013195808784662004], [13.839488514974414, 0.019381817997633628, 0.013451525741564182], [0.0005788790526061466, -0.2104526205319647, 0.18754246886584552], [10.380239475586704, 0.01613818971644363, 0.01894181764445383]]",2,"[0.004387254265939251, 0.007650790013546796]","[[0.04226032710878447, 0.27994758174308837], [0.004387254265939251, 0.007650790013546796]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,5,1,"[6.299876468158743, 0.011666350117048295, 0.013195601468247267]","[[6.299876468158743, 0.011666350117048295, 0.013195601468247267]]",1,"[0.004390041764227064, 0.0076368726931217166]","[[0.004390041764227064, 0.0076368726931217166]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,6,4,"[6.2998686847073415, 0.011666337236272075, 0.013195613100994678]","[[19.336330156581184, 0.02261357071055339, 0.013345263739358319], [12.120897367861454, 0.017460598811797026, 0.021581153302643565], [6.2998686847073415, 0.011666337236272075, 0.013195613100994678], [9.384369009411771e-8, -0.6000379828512553, 0.488589543248301]]",2,"[0.0043902974550017685, 0.007636389858946305]","[[0.0043902974550017685, 0.007636389858946305], [0.0492654221603666, 0.3762232652529022]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,7,1,"[6.299869081898556, 0.011666337891195741, 0.013195612541110695]","[[6.299869081898556, 0.011666337891195741, 0.013195612541110695]]",1,"[0.0043903184835027975, 0.007636301878260412]","[[0.0043903184835027975, 0.007636301878260412]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
35,0.1,8,4,"[6.299869064509729, 0.011666337862588735, 0.013195612564694868]","[[6.299869064509729, 0.011666337862588735, 0.013195612564694868], [14.093892517196176, 0.018758953822245197, 0.02403318866354165], [4.278589053206672e-16, -4.052602043425777, 3.1566596515837735], [26.354025666141123, 0.025625745734529838, 0.013345592919641623]]",2,"[0.004390319950433468, 0.007636298195478279]","[[0.004390319950433468, 0.007636298195478279], [0.056489721886999446, 0.4534730883792488]]","[6.299869065152926, 0.01319561256384035, 0.011666337863645987, 0.0043903200490180575, 0.18589468186283803, 0.007636297831523045]","[0.9795996657238578, 1.0108970391803969, 1.0614486402076926, 1.089825117229298, 0.9058960316436909, 0.9537998315702946]"
